dormitorios,banos,distrito,precio,area,latitud,longitud,fecha_publicacion,antiguedad,direccion,precision,type,precioxm2,dorm_ban
2.0,1.0,barranco,2800.0,70.0,-12.1291712,-77.0287882,8,4.0,"Dalias 113, Miraflores 15074, Peru",ROOFTOP,premise,40.0,"2.0,1.0"
2.0,2.0,barranco,3145.0,58.0,-12.141273022294268,-77.02291725019303,365,2.0,"Jirón Centenario 157, Barranco 15063, Peru",ROOFTOP,street_address,54.224137931034484,"2.0,2.0"
1.0,2.0,barranco,2000.0,45.0,-12.1334418,-77.018351,77,14.0,"Lima PE, C. Ramón Ribeyro 1062, Barranco 15047, Peru",ROOFTOP,establishment,44.44444444444444,"1.0,2.0"
2.0,2.0,barranco,2500.0,53.0,-12.140377215037107,-77.02360630176705,9,7.0,"Av. San Martín 615, Barranco 15063, Peru",ROOFTOP,street_address,47.16981132075472,"2.0,2.0"
3.0,3.0,barranco,12580.0,570.0,-12.1510425,-77.0218813,100,12.0,"28 De Julio 297, Barranco 15063, Peru",ROOFTOP,street_address,22.07017543859649,"3.0,3.0"
1.0,1.0,barranco,2775.0,84.0,-12.139699544027811,-77.02266284476035,8,10.0,"051, Av. el Sol Oeste 115, Barranco 15063, Peru",ROOFTOP,cafe,33.035714285714285,"1.0,1.0"
1.0,1.0,barranco,2783.0,72.0,-12.1392576,-77.0205048,1,17.0,"Av. el Sol Este 313, Lima 15063, Peru",ROOFTOP,street_address,38.65277777777778,"1.0,1.0"
1.0,1.0,barranco,2625.0,50.0,-12.1440877,-77.02298379999999,31,0.0,"Av. San Martín 234, Lima 15063, Peru",ROOFTOP,street_address,52.5,"1.0,1.0"
3.0,2.0,barranco,3000.0,74.0,-12.1410331602,-77.0182092707,67,7.0,"Ca. Enrique Barrón 167, Barranco 15063, Peru",ROOFTOP,street_address,40.54054054054054,"3.0,2.0"
1.0,1.0,barranco,2406.0,43.0,-12.1377037,-77.02239700000001,70,5.0,"Av. Almte. Miguel Grau 1402, Lima 15063, Peru",ROOFTOP,street_address,55.95348837209303,"1.0,1.0"
1.0,1.0,barranco,2600.0,50.0,-12.1439956,-77.02302150000001,9,2.0,"Av. San Martín 236, Barranco 15063, Peru",ROOFTOP,street_address,52.0,"1.0,1.0"
1.0,2.0,barranco,3100.0,86.0,-12.1391038,-77.0256529,8,4.0,"Jirón Las Mimosas 161, Barranco 15063, Peru",ROOFTOP,premise,36.04651162790697,"1.0,2.0"
3.0,2.0,barranco,2700.0,72.0,-12.1386072,-77.0176306,75,3.0,"Av. República de Panamá 330, Barranco 15063, Peru",ROOFTOP,street_address,37.5,"3.0,2.0"
1.0,2.0,barranco,2238.0,35.0,-12.1378906,-77.0222333,75,1.0,"Jr. Carlos Arrieta 190, Barranco 15063, Peru",ROOFTOP,establishment,63.94285714285714,"1.0,2.0"
1.0,1.0,barranco,2500.0,35.90066544566546,-12.136817590300687,-77.02247463853155,78,1.0,"Av. Almte. Miguel Grau 1510, Barranco 15063, Peru",ROOFTOP,street_address,69.63659221814905,"1.0,1.0"
2.0,2.0,barranco,3352.0,82.0,-12.1519526,-77.0214476,84,0.0,"Jirón 2 de Mayo 150, Barranco 15063, Peru",ROOFTOP,street_address,40.8780487804878,"2.0,2.0"
1.0,1.0,barranco,2500.0,41.0,-12.1509347,-77.02016429999999,85,0.0,"Av. Almte. Miguel Grau 11, Lima 15063, Peru",ROOFTOP,street_address,60.97560975609756,"1.0,1.0"
1.0,2.0,barranco,3120.0,70.0,-12.1314469,-77.01917709999998,2,4.0,"C. Ramón Ribeyro 890, Miraflores 15047, Peru",ROOFTOP,establishment,44.57142857142857,"1.0,2.0"
1.0,1.0,barranco,2000.0,30.0,-12.1193632,-77.0309813,8,1.0,"Av. José Pardo 239, Miraflores 15074, Peru",ROOFTOP,street_address,66.66666666666667,"1.0,1.0"
